# Simulation chain=telecom.chain.BasicChain, payload_len=100, n_packets=100, seed=1234
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto	preamble_mis	preamble_false
1.400000000000000000e+01	1.100000000000000066e-03	1.100000000000000006e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
# Simulation chain=telecom.chain.BasicChain, payload_len=100, n_packets=100, seed=1234
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto	preamble_mis	preamble_false
0.000000000000000000e+00	3.724000000000000088e-01	1.000000000000000000e+00	2.011809580187748359e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	3.446000000000000174e-01	1.000000000000000000e+00	1.916665847349860730e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.103000000000000203e-01	1.000000000000000000e+00	1.747942174072671107e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.744000000000000328e-01	1.000000000000000000e+00	1.485002336882614016e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	2.344999999999999862e-01	1.000000000000000000e+00	1.355052716028016524e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	1.910000000000000031e-01	1.000000000000000000e+00	1.061502449822131905e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	1.614000000000000157e-01	1.000000000000000000e+00	1.093594398488879765e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.292999999999999983e-01	1.000000000000000000e+00	1.066164662662220375e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	8.130000000000001115e-02	1.000000000000000000e+00	4.950546687523880995e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	5.639999999999999875e-02	9.899999999999999911e-01	4.831749364853570039e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.830000000000000071e-02	9.499999999999999556e-01	4.765512571471468284e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	1.830000000000000029e-02	8.699999999999999956e-01	1.902609859433498918e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	8.600000000000000006e-03	6.300000000000000044e-01	1.673605904281487769e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	4.400000000000000265e-03	4.000000000000000222e-01	1.476712539859964708e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	1.299999999999999940e-03	1.300000000000000044e-01	1.305724852122270435e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	1.000000000000000048e-04	1.000000000000000021e-02	1.156272504860584617e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.025079087071567585e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	9.095659915060253994e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.076333911320508416e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	7.175317026136237772e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.377805625420381562e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.671140201820343285e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.044411557914623735e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.488164283388056293e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.994165723818232823e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.555221491064380034e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.165025457512372301e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.818036100097925066e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.509373441892723440e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.234732375618166903e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
# Simulation chain=telecom.chain.BasicChain, payload_len=200, n_packets=800, seed=1234
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto	preamble_mis	preamble_false
0.000000000000000000e+00	3.803625000000000478e-01	1.000000000000000000e+00	2.049720195692521230e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	3.525437500000000446e-01	1.000000000000000000e+00	1.939791011069962878e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.210625000000000284e-01	1.000000000000000000e+00	1.803711420333048154e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.819187499999999957e-01	1.000000000000000000e+00	1.606663264729491503e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	2.416062499999999946e-01	1.000000000000000000e+00	1.416886707908222021e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	1.984562499999999730e-01	1.000000000000000000e+00	1.229089228417743346e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	1.560374999999999956e-01	1.000000000000000000e+00	1.016423187800782613e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.158374999999999960e-01	1.000000000000000000e+00	7.984167115729932929e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	8.116874999999999785e-02	1.000000000000000000e+00	5.961395200145017809e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	5.315624999999999517e-02	1.000000000000000000e+00	3.869039767384476608e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.203749999999999654e-02	1.000000000000000000e+00	2.577754939010112878e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	1.761875000000000246e-02	9.762499999999999512e-01	1.791256041296553775e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	8.981249999999999650e-03	8.399999999999999689e-01	1.559421194761836937e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	3.712500000000000088e-03	5.212499999999999911e-01	1.363972668038030550e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	1.337500000000000147e-03	2.250000000000000056e-01	1.197487333769015408e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	4.000000000000000192e-04	7.374999999999999611e-02	1.054471479936527900e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	4.375000000000000633e-05	8.750000000000000833e-03	9.307631991199603536e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	6.250000000000000300e-06	1.250000000000000026e-03	8.231465123957960525e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	6.250000000000000300e-06	1.250000000000000026e-03	7.290923699448815208e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.465797557700601536e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.739695717009369799e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.099143256721760595e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.532925872665659502e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.031608151733024475e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.587175037285238004e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.192761503903694936e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.842445987317400013e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.531090338921187718e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.254214077515336642e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.007894201180702824e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
# Simulation chain=telecom.chain.BasicChain, payload_len=800, n_packets=200, seed=1234
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto	preamble_mis	preamble_false
0.000000000000000000e+00	3.705375000000000196e-01	1.000000000000000000e+00	1.811560921360976795e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	3.437562499999999854e-01	1.000000000000000000e+00	1.758009016820407111e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.088812499999999961e-01	1.000000000000000000e+00	1.566043839274677552e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.793687499999999990e-01	1.000000000000000000e+00	1.600583666973385000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	2.362312500000000037e-01	1.000000000000000000e+00	1.338385444954760251e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	1.927499999999999769e-01	1.000000000000000000e+00	1.075790282996256370e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	1.506750000000000034e-01	1.000000000000000000e+00	8.377053772375220309e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.143374999999999947e-01	1.000000000000000000e+00	7.421551355520378257e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	7.748125000000000151e-02	1.000000000000000000e+00	4.047263412735423865e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	5.038750000000000173e-02	1.000000000000000000e+00	2.303766718701362459e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.087499999999999967e-02	1.000000000000000000e+00	1.983810457668344282e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	1.726250000000000007e-02	1.000000000000000000e+00	1.719529509634069517e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	7.881249999999999367e-03	1.000000000000000000e+00	1.498677551143098689e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	3.112500000000000249e-03	9.050000000000000266e-01	1.312068012368283743e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	1.162500000000000122e-03	5.699999999999999512e-01	1.152854659493357699e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	3.062499999999999901e-04	2.149999999999999967e-01	1.015904357039992996e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	8.124999999999999627e-05	5.999999999999999778e-02	8.973086803308681636e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	1.250000000000000060e-05	1.000000000000000021e-02	7.940381018143271435e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	7.037035733782836221e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.243911413743890269e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.545452946958959357e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.928852271117205135e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.383437823519928909e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.900223303071527481e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.471570044239572286e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.090931379895860316e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.752656744994543079e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.451839685390361148e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.184198407298222969e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.945980660713658847e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
# Simulation chain=telecom.chain.BasicChain, payload_len=800, n_packets=200, seed=1234
# EsN0_dB	BER	PER	RMSE_cfo	RMSE_sto	preamble_mis	preamble_false
0.000000000000000000e+00	3.705375000000000196e-01	1.000000000000000000e+00	1.811560921360976795e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	3.437562499999999854e-01	1.000000000000000000e+00	1.758009016820407111e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.088812499999999961e-01	1.000000000000000000e+00	1.566043839274677552e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.793687499999999990e-01	1.000000000000000000e+00	1.600583666973385000e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	2.362312500000000037e-01	1.000000000000000000e+00	1.338385444954760251e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	1.927499999999999769e-01	1.000000000000000000e+00	1.075790282996256370e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	1.506750000000000034e-01	1.000000000000000000e+00	8.377053772375220309e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	1.143374999999999947e-01	1.000000000000000000e+00	7.421551355520378257e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	7.748125000000000151e-02	1.000000000000000000e+00	4.047263412735423865e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	5.038750000000000173e-02	1.000000000000000000e+00	2.303766718701362459e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.087499999999999967e-02	1.000000000000000000e+00	1.983810457668344282e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	1.726250000000000007e-02	1.000000000000000000e+00	1.719529509634069517e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	7.881249999999999367e-03	1.000000000000000000e+00	1.498677551143098689e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	3.112500000000000249e-03	9.050000000000000266e-01	1.312068012368283743e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	1.162500000000000122e-03	5.699999999999999512e-01	1.152854659493357699e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	3.062499999999999901e-04	2.149999999999999967e-01	1.015904357039992996e-02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	8.124999999999999627e-05	5.999999999999999778e-02	8.973086803308681636e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	1.250000000000000060e-05	1.000000000000000021e-02	7.940381018143271435e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	7.037035733782836221e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	6.243911413743890269e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.545452946958959357e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.928852271117205135e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.383437823519928909e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.900223303071527481e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.471570044239572286e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.090931379895860316e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.752656744994543079e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.451839685390361148e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.184198407298222969e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	1.945980660713658847e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
